,region,cpu on-demand,cpu preemptible,cpu 1-year,cpu 3-year,mem on-demand,mem preemptible,mem 1-year,mem 3-year
0,us-central1,0.022127699999999997,0.006655,0.019915000000000002,0.014225,0.0029659,0.000892,0.002669,0.0019069999999999998
1,us-west2,0.026579000000000002,0.007986,0.023917808219178084,0.017082191780821918,0.0035623,0.001076,0.0032054794520547944,0.002287671232876712
2,us-west1,0.022127699999999997,0.006655,0.019915000000000002,0.014225,0.0029659,0.000892,0.002669,0.0019069999999999998
3,us-east4,0.024923499999999998,0.00712085,0.021315068493150686,0.01521917808219178,0.0033397,0.00095444,0.0028493150684931507,0.002041095890410959
4,us-east1,0.022127699999999997,0.006655,0.019915000000000002,0.014225,0.0029659,0.000892,0.002669,0.0019069999999999998
5,northamerica-northeast1,0.02434047,0.007325,0.02193150684931507,0.01565753424657534,0.003114195,0.000987,0.0029315068493150688,0.002095890410958904
6,southamerica-east1,0.035126,0.010038,0.03161643835616438,0.022589041095890407,0.0047075,0.001346,0.004232876712328767,0.0030273972602739728
7,europe-west1,0.0243411,0.00732,0.021907,0.015648,0.0032627000000000003,0.000981,0.002936,0.002097
8,europe-north1,0.0243642,0.00732,0.02193150684931507,0.01565753424657534,0.0032648,0.000981,0.0029315068493150688,0.002095890410958904
9,europe-west3,0.028511,0.00815,0.02563596,0.0183114,0.0038206000000000004,0.00109,0.0034383561643835615,0.002452054794520548
10,europe-west2,0.028511,0.00815,0.02563013698630137,0.018315068493150684,0.0038206000000000004,0.00109,0.0034383561643835615,0.002452054794520548
11,europe-west4,0.02434047,0.007325,0.02193150684931507,0.01565753424657534,0.0032624900000000003,0.000987,0.0029315068493150688,0.002095890410958904
12,europe-west6,0.030961699999999998,0.009309,0.027863013698630135,0.019904109589041093,0.0041496,0.0012540000000000001,0.0037397260273972603,0.0026712328767123285
13,asia-south1,0.026579000000000002,0.006655,0.023917808219178084,0.017082191780821918,0.0029659,0.000892,0.0032054794520547944,0.002287671232876712
14,asia-southeast1,0.0272993,0.0078,0.024561643835616438,0.01754794520547945,0.0036582,0.00105,0.003287671232876712,0.002356164383561644
15,australia-southeast1,0.0313992,0.00898,0.0282744,0.020196000000000002,0.0042077,0.0012,0.0037863000000000003,0.0027045000000000003
16,asia-east2,0.03095890410958904,0.009309,0.027866,0.019904,0.004150684931506849,0.0012540000000000001,0.003735,0.0026680000000000002
17,asia-east1,0.0256214,0.00732,0.023059,0.016471,0.0034341999999999997,0.000981,0.003091,0.002208
18,asia-northeast1,0.0284326,0.00883,0.025589,0.018278,0.0037933,0.001178,0.003414,0.002438
19,asia-northeast2,0.0284326,0.00883,0.025589,0.018278,0.0037933,0.001178,0.003414,0.002438
