,input
0,NVIDIA Tesla K80
1,NVIDIA Tesla P100
2,NVIDIA Tesla P100 Virtual Workstation
3,NVIDIA Tesla V100
4,NVIDIA Tesla P4
5,NVIDIA Tesla P4 Virtual Workstation
6,NVIDIA Tesla T4
7,NVIDIA Tesla T4 Virtual Workstation
