,input
0,US East (N. Virginia)
1,US East (Ohio)
2,US West (N. California)
3,US West (Oregon)
4,Asia Pacific (Mumbai)
5,Asia Pacific (Tokyo)
6,Asia Pacific (Seoul)
7,Asia Pacific (Singapore)
8,Asia Pacific (Sydney)
9,Canada (Central)
10,EU (Frankfurt)
11,EU (Ireland)
12,EU (London)
13,EU (Paris)
14,South America (Sao Paulo)
