,input
0,East US
1,East US 2
2,West US
3,West US 2
4,Central US
5,North Central US
6,South Central US
7,West Central US
8,Canada Central
9,Canada East
10,North Europe
11,West Europe
12,Japan West
13,Japan East
14,Brazil South
15,Australia East
16,Australia Southeast
17,South India
18,Central India
19,West India
20,East Asia
21,Southeast Asia
