input,output
N2D High CPU 64,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-64
N2D High CPU 80,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-80
N2D High CPU 96,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-96
N2D High CPU 128,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-128
N2D High CPU 224,CP-COMPUTEENGINE-VMIMAGE-N2D-HIGHCPU-224
E2 Standard 2,CP-COMPUTEENGINE-VMIMAGE-E2-STANDARD-2
E2 Standard 4,CP-COMPUTEENGINE-VMIMAGE-E2-STANDARD-4
E2 Standard 8,CP-COMPUTEENGINE-VMIMAGE-E2-STANDARD-8
E2 Standard 16,CP-COMPUTEENGINE-VMIMAGE-E2-STANDARD-16
E2 High Mem 2,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHMEM-2
E2 High Mem 4,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHMEM-4
E2 High Mem 8,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHMEM-8
E2 High Mem 16,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHMEM-16
E2 High CPU 2,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHCPU-2
E2 High CPU 4,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHCPU-4
E2 High CPU 8,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHCPU-8
E2 High CPU 16,CP-COMPUTEENGINE-VMIMAGE-E2-HIGHCPU-16
M1 ULTRAMEM 40,CP-COMPUTEENGINE-VMIMAGE-M1-ULTRAMEM-40
M1 ULTRAMEM 80,CP-COMPUTEENGINE-VMIMAGE-M1-ULTRAMEM-80
M1 ULTRAMEM 160,CP-COMPUTEENGINE-VMIMAGE-M1-ULTRAMEM-160
M2 ULTRAMEM 208,CP-COMPUTEENGINE-VMIMAGE-M2-ULTRAMEM-208
M2 ULTRAMEM 416,CP-COMPUTEENGINE-VMIMAGE-M2-ULTRAMEM-416
C2 Standard 4,CP-COMPUTEENGINE-VMIMAGE-C2-STANDARD-4
C2 Standard 8,CP-COMPUTEENGINE-VMIMAGE-C2-STANDARD-8
C2 Standard 16,CP-COMPUTEENGINE-VMIMAGE-C2-STANDARD-16
C2 Standard 30,CP-COMPUTEENGINE-VMIMAGE-C2-STANDARD-30
C2 Standard 60,CP-COMPUTEENGINE-VMIMAGE-C2-STANDARD-60
F1 MICRO,CP-COMPUTEENGINE-VMIMAGE-F1-MICRO
G1 SMALL,CP-COMPUTEENGINE-VMIMAGE-G1-SMALL
E2 MICRO,CP-COMPUTEENGINE-VMIMAGE-E2-MICRO
E2 SMALL,CP-COMPUTEENGINE-VMIMAGE-E2-SMALL
E2 MEDIUM,CP-COMPUTEENGINE-VMIMAGE-E2-MEDIUM
M1 MEGAMEM 96,CP-COMPUTEENGINE-VMIMAGE-M1-96
