provider,region,instance
aws,South America (Sao Paulo),m3.2xlarge
aws,South America (Sao Paulo),m4.large
aws,South America (Sao Paulo),m4.xlarge
aws,South America (Sao Paulo),m4.2xlarge
aws,South America (Sao Paulo),m4.4xlarge
aws,South America (Sao Paulo),m4.10xlarge
aws,South America (Sao Paulo),m4.16xlarge
aws,South America (Sao Paulo),m5.large
aws,South America (Sao Paulo),m5.xlarge
aws,South America (Sao Paulo),m5.2xlarge
aws,South America (Sao Paulo),m5.4xlarge
aws,South America (Sao Paulo),m5.12xlarge
aws,South America (Sao Paulo),m5.24xlarge
aws,South America (Sao Paulo),p2.xlarge
aws,South America (Sao Paulo),p2.8xlarge
aws,South America (Sao Paulo),p2.16xlarge
aws,South America (Sao Paulo),p3.2xlarge
aws,South America (Sao Paulo),p3.8xlarge
aws,South America (Sao Paulo),p3.16xlarge
aws,South America (Sao Paulo),g3.4xlarge
aws,South America (Sao Paulo),g3.8xlarge
aws,South America (Sao Paulo),g3.16xlarge
aws,Asia Pacific (Mumbai),t2.medium
aws,Asia Pacific (Mumbai),t2.large
aws,Asia Pacific (Mumbai),t2.xlarge
aws,Asia Pacific (Mumbai),t2.2xlarge
aws,Asia Pacific (Mumbai),c4.large
aws,Asia Pacific (Mumbai),c4.xlarge
aws,Asia Pacific (Mumbai),c4.2xlarge
aws,Asia Pacific (Mumbai),c4.4xlarge
aws,Asia Pacific (Mumbai),c4.8xlarge
aws,Asia Pacific (Mumbai),c5.large
aws,Asia Pacific (Mumbai),c5.xlarge
aws,Asia Pacific (Mumbai),c5.2xlarge
aws,Asia Pacific (Mumbai),c5.4xlarge
aws,Asia Pacific (Mumbai),c5.9xlarge
aws,Asia Pacific (Mumbai),r4.large
aws,Asia Pacific (Mumbai),r4.xlarge
aws,Asia Pacific (Mumbai),r4.2xlarge
aws,Asia Pacific (Mumbai),r4.4xlarge
aws,Asia Pacific (Mumbai),r4.8xlarge
aws,Asia Pacific (Mumbai),r4.16xlarge
aws,Asia Pacific (Mumbai),m3.large
aws,Asia Pacific (Mumbai),m3.xlarge
aws,Asia Pacific (Mumbai),m3.2xlarge
aws,Asia Pacific (Mumbai),m4.large
aws,Asia Pacific (Mumbai),m4.xlarge
aws,Asia Pacific (Mumbai),m4.2xlarge
aws,Asia Pacific (Mumbai),m4.4xlarge
aws,Asia Pacific (Mumbai),m4.10xlarge
aws,Asia Pacific (Mumbai),m4.16xlarge
aws,Asia Pacific (Mumbai),m5.large
aws,Asia Pacific (Mumbai),m5.xlarge
aws,Asia Pacific (Mumbai),m5.2xlarge
aws,Asia Pacific (Mumbai),m5.4xlarge
aws,Asia Pacific (Mumbai),m5.12xlarge
aws,Asia Pacific (Mumbai),m5.24xlarge
aws,Asia Pacific (Mumbai),p2.xlarge
aws,Asia Pacific (Mumbai),p2.8xlarge
aws,Asia Pacific (Mumbai),p2.16xlarge
aws,Asia Pacific (Mumbai),p3.2xlarge
aws,Asia Pacific (Mumbai),p3.8xlarge
aws,Asia Pacific (Mumbai),p3.16xlarge
aws,Asia Pacific (Mumbai),g3.4xlarge
aws,Asia Pacific (Mumbai),g3.8xlarge
aws,Asia Pacific (Mumbai),g3.16xlarge
aws,Asia Pacific (Sydney),t2.medium
aws,Asia Pacific (Sydney),t2.large
aws,Asia Pacific (Sydney),t2.xlarge
aws,Asia Pacific (Sydney),t2.2xlarge
aws,Asia Pacific (Sydney),c4.large
aws,Asia Pacific (Sydney),c4.xlarge
aws,Asia Pacific (Sydney),c4.2xlarge
aws,Asia Pacific (Sydney),c4.4xlarge
aws,Asia Pacific (Sydney),c4.8xlarge
aws,Asia Pacific (Sydney),c5.large
aws,Asia Pacific (Sydney),c5.xlarge
aws,Asia Pacific (Sydney),c5.2xlarge
aws,Asia Pacific (Sydney),c5.4xlarge
aws,Asia Pacific (Sydney),c5.9xlarge
aws,Asia Pacific (Sydney),r4.large
aws,Asia Pacific (Sydney),r4.xlarge
aws,Asia Pacific (Sydney),r4.2xlarge
aws,Asia Pacific (Sydney),r4.4xlarge
aws,Asia Pacific (Sydney),r4.8xlarge
aws,Asia Pacific (Sydney),r4.16xlarge
aws,Asia Pacific (Sydney),m3.large
aws,Asia Pacific (Sydney),m3.xlarge
aws,Asia Pacific (Sydney),m3.2xlarge
aws,Asia Pacific (Sydney),m4.large
aws,Asia Pacific (Sydney),m4.xlarge
aws,Asia Pacific (Sydney),m4.2xlarge
aws,Asia Pacific (Sydney),m4.4xlarge
aws,Asia Pacific (Sydney),m4.10xlarge
aws,Asia Pacific (Sydney),m4.16xlarge
aws,Asia Pacific (Sydney),m5.large
aws,Asia Pacific (Sydney),m5.xlarge
aws,Asia Pacific (Sydney),m5.2xlarge
aws,Asia Pacific (Sydney),m5.4xlarge
aws,Asia Pacific (Sydney),m5.12xlarge
aws,Asia Pacific (Sydney),m5.24xlarge
aws,Asia Pacific (Sydney),p2.xlarge
aws,Asia Pacific (Sydney),p2.8xlarge
aws,Asia Pacific (Sydney),p2.16xlarge
aws,Asia Pacific (Sydney),p3.2xlarge
aws,Asia Pacific (Sydney),p3.8xlarge
aws,Asia Pacific (Sydney),p3.16xlarge
aws,Asia Pacific (Sydney),g3.4xlarge
aws,Asia Pacific (Sydney),g3.8xlarge
aws,Asia Pacific (Sydney),g3.16xlarge
aws,Canada (Central),t2.medium
aws,Canada (Central),t2.large
aws,Canada (Central),t2.xlarge
aws,Canada (Central),t2.2xlarge
aws,Canada (Central),c4.large
aws,Canada (Central),c4.xlarge
aws,Canada (Central),c4.2xlarge
aws,Canada (Central),c4.4xlarge
aws,Canada (Central),c4.8xlarge
aws,Canada (Central),c5.large
aws,Canada (Central),c5.xlarge
aws,Canada (Central),c5.2xlarge
aws,Canada (Central),c5.4xlarge
aws,Canada (Central),c5.9xlarge
aws,Canada (Central),r4.large
aws,Canada (Central),r4.xlarge
aws,Canada (Central),r4.2xlarge
aws,Canada (Central),r4.4xlarge
aws,Canada (Central),r4.8xlarge
aws,Canada (Central),r4.16xlarge
aws,Canada (Central),m3.large
aws,Canada (Central),m3.xlarge
aws,Canada (Central),m3.2xlarge
aws,Canada (Central),m4.large
aws,Canada (Central),m4.xlarge
aws,Canada (Central),m4.2xlarge
aws,Canada (Central),m4.4xlarge
aws,Canada (Central),m4.10xlarge
aws,Canada (Central),m4.16xlarge
aws,Canada (Central),m5.large
aws,Canada (Central),m5.xlarge
aws,Canada (Central),m5.2xlarge
aws,Canada (Central),m5.4xlarge
aws,Canada (Central),m5.12xlarge
aws,Canada (Central),m5.24xlarge
aws,Canada (Central),p2.xlarge
aws,Canada (Central),p2.8xlarge
aws,Canada (Central),p2.16xlarge
aws,Canada (Central),p3.2xlarge
aws,Canada (Central),p3.8xlarge
aws,Canada (Central),p3.16xlarge
aws,Canada (Central),g3.4xlarge
aws,Canada (Central),g3.8xlarge
aws,Canada (Central),g3.16xlarge
aws,EU (Ireland),t2.medium
aws,EU (Ireland),t2.large
aws,EU (Ireland),t2.xlarge
aws,EU (Ireland),t2.2xlarge
aws,EU (Ireland),c4.large
aws,EU (Ireland),c4.xlarge
aws,EU (Ireland),c4.2xlarge
aws,EU (Ireland),c4.4xlarge
aws,EU (Ireland),c4.8xlarge
aws,EU (Ireland),c5.large
aws,EU (Ireland),c5.xlarge
aws,EU (Ireland),c5.2xlarge
aws,EU (Ireland),c5.4xlarge
aws,EU (Ireland),c5.9xlarge
aws,EU (Ireland),r4.large
aws,EU (Ireland),r4.xlarge
aws,EU (Ireland),r4.2xlarge
aws,EU (Ireland),r4.4xlarge
aws,EU (Ireland),r4.8xlarge
aws,EU (Ireland),r4.16xlarge
aws,EU (Ireland),m3.large
aws,EU (Ireland),m3.xlarge
aws,EU (Ireland),m3.2xlarge
aws,EU (Ireland),m4.large
aws,EU (Ireland),m4.xlarge
aws,EU (Ireland),m4.2xlarge
aws,EU (Ireland),m4.4xlarge
aws,EU (Ireland),m4.10xlarge
aws,EU (Ireland),m4.16xlarge
aws,EU (Ireland),m5.large
aws,EU (Ireland),m5.xlarge
aws,EU (Ireland),m5.2xlarge
aws,EU (Ireland),m5.4xlarge
aws,EU (Ireland),m5.12xlarge
aws,EU (Ireland),m5.24xlarge
aws,EU (Ireland),p2.xlarge
aws,EU (Ireland),p2.8xlarge
