provider,instancetype,cpu,memory,family
azure,standard-e16-8s-v3,8,128,2ESv3
azure,standard-e32-16s-v3,16,256,2ESv3
azure,standard-e4-2s-v3,2,32,2ESv3
azure,standard-e64-32s-v3,32,432,2ESv3
azure,standard-e8-4s-v3,4,64,2ESv3
azure,standard-e16-4s-v3,4,128,4ESv3
azure,standard-e32-8s-v3,8,256,4ESv3
azure,standard-e64-16s-v3,16,432,4ESv3
azure,standard-e8-2s-v3,2,64,4ESv3
azure,standard-a0,1,0.75,A0
azure,standard-a10,8,56,A10-A11
azure,standard-a11,16,112,A10-A11
azure,standard-a1,1,1.75,A1-A4
azure,standard-a2,2,3.5,A1-A4
azure,standard-a3,4,7,A1-A4
azure,standard-a4,8,14,A1-A4
azure,standard-a1-v2,1,2,A1v2-A8v2
azure,standard-a2-v2,2,4,A1v2-A8v2
azure,standard-a4-v2,4,8,A1v2-A8v2
azure,standard-a8-v2,8,16,A1v2-A8v2
azure,standard-a2m-v2,2,16,A2Mv2-A8Mv2
azure,standard-a4m-v2,4,32,A2Mv2-A8Mv2
azure,standard-a8m-v2,8,64,A2Mv2-A8Mv2
azure,standard-a5,2,14,A5-A7
azure,standard-a6,4,28,A5-A7
azure,standard-a7,8,56,A5-A7
azure,standard-a8,8,56,A8-A9
azure,standard-a9,16,112,A8-A9
azure,standard-b12ms,12,48,B1MS-B20MS
azure,standard-b16ms,16,64,B1MS-B20MS
azure,standard-b1ms,1,2,B1MS-B20MS
azure,standard-b20ms,20,80,B1MS-B20MS
azure,standard-b2ms,2,8,B1MS-B20MS
azure,standard-b4ms,4,16,B1MS-B20MS
azure,standard-b8ms,8,32,B1MS-B20MS
azure,standard-b1s,1,1,B1S-B2S
azure,standard-b2s,2,4,B1S-B2S
azure,standard-d11,2,14,D11-D14
azure,standard-d12,4,28,D11-D14
azure,standard-d13,8,56,D11-D14
azure,standard-d14,16,112,D11-D14
azure,standard-d11s,2,14,D11S-D14S
azure,standard-d12s,4,28,D11S-D14S
azure,standard-d13s,8,56,D11S-D14S
azure,standard-d14s,16,112,D11S-D14S
azure,standard-d11-v2,2,14,D11v2-D15v2
azure,standard-d12-v2,4,28,D11v2-D15v2
azure,standard-d13-v2,8,56,D11v2-D15v2
azure,standard-d14-v2,16,112,D11v2-D15v2
azure,standard-d15i-v2,20,140,D11v2-D15v2
azure,standard-d15-v2,20,140,D11v2-D15v2
azure,standard-d1,1,3.5,D1-D4
azure,standard-d2,2,7,D1-D4
azure,standard-d3,4,14,D1-D4
azure,standard-d4,8,28,D1-D4
azure,standard-d1s,1,3.5,D1S-D4S
azure,standard-d2s,2,7,D1S-D4S
azure,standard-d3s,4,14,D1S-D4S
azure,standard-d4s,8,28,D1S-D4S
azure,standard-d1-v2,1,3.5,D1v2-D5v2
azure,standard-d2-v2,2,7,D1v2-D5v2
azure,standard-d3-v2,4,14,D1v2-D5v2
azure,standard-d4-v2,8,28,D1v2-D5v2
azure,standard-d5-v2,16,56,D1v2-D5v2
azure,standard-d16as-v4,16,64,D2ASv4-D96ASv4
azure,standard-d2as-v4,2,8,D2ASv4-D96ASv4
azure,standard-d32as-v4,32,128,D2ASv4-D96ASv4
azure,standard-d48as-v4,48,192,D2ASv4-D96ASv4
azure,standard-d4as-v4,4,16,D2ASv4-D96ASv4
azure,standard-d64as-v4,64,256,D2ASv4-D96ASv4
azure,standard-d8as-v4,8,32,D2ASv4-D96ASv4
azure,standard-d96as-v4,96,384,D2ASv4-D96ASv4
azure,standard-d16a-v4,16,64,D2Av4-D96Av4
azure,standard-d2a-v4,2,8,D2Av4-D96Av4
azure,standard-d32a-v4,32,128,D2Av4-D96Av4
azure,standard-d48a-v4,48,192,D2Av4-D96Av4
azure,standard-d4a-v4,4,16,D2Av4-D96Av4
azure,standard-d64a-v4,64,256,D2Av4-D96Av4
azure,standard-d8a-v4,8,32,D2Av4-D96Av4
azure,standard-d96a-v4,96,384,D2Av4-D96Av4
azure,standard-d16s-v3,16,64,D2Sv3-D64Sv3
azure,standard-d2s-v3,2,8,D2Sv3-D64Sv3
azure,standard-d32s-v3,32,128,D2Sv3-D64Sv3
azure,standard-d48s-v3,48,192,D2Sv3-D64Sv3
azure,standard-d4s-v3,4,16,D2Sv3-D64Sv3
azure,standard-d4-v3,4,16,D2Sv3-D64Sv3
azure,standard-d64s-v3,64,256,D2Sv3-D64Sv3
azure,standard-d8s-v3,8,32,D2Sv3-D64Sv3
azure,standard-d16-v3,16,64,D2v3-D64v3
azure,standard-d2-v3,2,8,D2v3-D64v3
azure,standard-d32-v3,32,128,D2v3-D64v3
azure,standard-d48-v3,48,192,D2v3-D64v3
azure,standard-d64-v3,64,256,D2v3-D64v3
azure,standard-d8-v3,8,32,D2v3-D64v3
azure,standard-dc1s-v2,2,4,DC1S-DC8S
azure,standard-dc2s-v2,4,8,DC1S-DC8S
azure,standard-dc4s-v2,8,16,DC1S-DC8S
azure,standard-dc8s-v2,16,32,DC1S-DC8S
azure,standard-dc2s,2,8,DC2S-DC4S
azure,standard-dc4s,4,16,DC2S-DC4S
azure,standard-ds11-1-v2,1,14,DS111v2-DS148v2
azure,standard-ds12-2-v2,2,28,DS111v2-DS148v2
azure,standard-ds13-4-v2,4,56,DS111v2-DS148v2
azure,standard-ds14-8-v2,8,112,DS111v2-DS148v2
azure,standard-ds11-v2,2,14,DS11v2-DS15v2
azure,standard-ds12-v2,4,28,DS11v2-DS15v2
azure,standard-ds13-v2,8,56,DS11v2-DS15v2
azure,standard-ds14-v2,16,112,DS11v2-DS15v2
azure,standard-ds15i-v2,20,140,DS11v2-DS15v2
azure,standard-ds15-v2,20,140,DS11v2-DS15v2
azure,standard-ds12-1-v2,1,28,DS121v2-DS144v2
azure,standard-ds13-2-v2,2,56,DS121v2-DS144v2
azure,standard-ds14-4-v2,4,112,DS121v2-DS144v2
azure,standard-ds1-v2,1,3.5,DS1v2-DS4v2
azure,standard-ds2-v2,2,7,DS1v2-DS4v2
azure,standard-ds3-v2,4,14,DS1v2-DS4v2
azure,standard-ds4-v2,8,28,DS1v2-DS4v2
azure,standard-ds5-v2,16,56,DS1v2-DS4v2
azure,standard-e16as-v4,16,128,E2ASv4-E96ASv4
azure,standard-e20as-v4,20,160,E2ASv4-E96ASv4
azure,standard-e2as-v4,2,16,E2ASv4-E96ASv4
azure,standard-e32as-v4,32,256,E2ASv4-E96ASv4
azure,standard-e48as-v4,48,384,E2ASv4-E96ASv4
azure,standard-e4as-v4,4,32,E2ASv4-E96ASv4
azure,standard-e64as-v4,64,512,E2ASv4-E96ASv4
azure,standard-e8as-v4,8,64,E2ASv4-E96ASv4
azure,standard-e96as-v4,96,672,E2ASv4-E96ASv4
azure,standard-e16a-v4,16,128,E2Av4-E96Av4
azure,standard-e20a-v4,20,160,E2Av4-E96Av4
azure,standard-e2a-v4,2,16,E2Av4-E96Av4
azure,standard-e32a-v4,32,256,E2Av4-E96Av4
azure,standard-e48a-v4,48,384,E2Av4-E96Av4
azure,standard-e4a-v4,4,32,E2Av4-E96Av4
azure,standard-e64a-v4,64,324,E2Av4-E96Av4
azure,standard-e8a-v4,8,64,E2Av4-E96Av4
azure,standard-e96a-v4,96,672,E2Av4-E96Av4
azure,standard-e16s-v3,16,128,E2Sv3-E64Sv3
azure,standard-e20s-v3,20,160,E2Sv3-E64Sv3
azure,standard-e2s-v3,2,16,E2Sv3-E64Sv3
azure,standard-e32s-v3,32,256,E2Sv3-E64Sv3
azure,standard-e48s-v3,48,384,E2Sv3-E64Sv3
azure,standard-e4s-v3,4,32,E2Sv3-E64Sv3
azure,standard-e64s-v3,64,324,E2Sv3-E64Sv3
azure,standard-e8s-v3,8,64,E2Sv3-E64Sv3
azure,standard-e16-v3,16,128,E2v3-E64v3
azure,standard-e20-v3,20,160,E2v3-E64v3
azure,standard-e2-v3,2,16,E2v3-E64v3
azure,standard-e32-v3,32,256,E2v3-E64v3
azure,standard-e48-v3,48,384,E2v3-E64v3
azure,standard-e4-v3,4,32,E2v3-E64v3
azure,standard-e64is-v3,64,324,E2v3-E64v3
azure,standard-e64i-v3,64,324,E2v3-E64v3
azure,standard-e64-v3,64,324,E2v3-E64v3
azure,standard-e8-v3,8,64,E2v3-E64v3
azure,standard-f1,1,2,F1-F16
azure,standard-f16,16,32,F1-F16
azure,standard-f2,2,4,F1-F16
azure,standard-f4,4,8,F1-F16
azure,standard-f8,8,16,F1-F16
azure,standard-f16s,16,32,F1S-F16S
azure,standard-f1s,1,2,F1S-F16S
azure,standard-f2s,2,4,F1S-F16S
azure,standard-f4s,4,8,F1S-F16S
azure,standard-f8s,8,16,F1S-F16S
azure,standard-f16s-v2,16,32,F2Sv2-F72Sv2
azure,standard-f2s-v2,2,4,F2Sv2-F72Sv2
azure,standard-f32s-v2,32,64,F2Sv2-F72Sv2
azure,standard-f48s-v2,48,96,F2Sv2-F72Sv2
azure,standard-f4s-v2,4,8,F2Sv2-F72Sv2
azure,standard-f64s-v2,64,128,F2Sv2-F72Sv2
azure,standard-f72s-v2,72,144,F2Sv2-F72Sv2
azure,standard-f8s-v2,8,16,F2Sv2-F72Sv2
azure,standard-g1,2,28,G1-G5
azure,standard-g2,4,56,G1-G5
azure,standard-g3,8,112,G1-G5
azure,standard-g4,16,224,G1-G5
azure,standard-g5,32,448,G1-G5
azure,standard-gs1,2,28,GS1-GS5
azure,standard-gs2,4,56,GS1-GS5
azure,standard-gs3,8,112,GS1-GS5
azure,standard-gs4,16,224,GS1-GS5
azure,standard-gs5,32,448,GS1-GS5
azure,standard-gs4-4,4,224,GS44
azure,standard-gs4-8,8,224,GS48
azure,standard-gs5-16,16,448,GS516
azure,standard-gs5-8,8,448,GS58
azure,standard-h16mr,16,112,H16MR
azure,standard-h16r,16,112,H16R
azure,standard-h16,16,112,H8-H16
azure,standard-h8,8,56,H8-H16
azure,standard-h16m,16,224,H8M-H16M
azure,standard-h8m,8,112,H8M-H16M
azure,standard-hb120rs-v2,120,480,HB120RSv2
azure,standard-hb60rs,60,240,HB60RS
azure,standard-hc44rs,44,352,HC44RS
azure,standard-l16s,16,128,L4S-L48S
azure,standard-l32s,32,256,L4S-L48S
azure,standard-l48s-v2,48,384,L4S-L48S
azure,standard-l4s,4,32,L4S-L48S
azure,standard-l8s,8,64,L4S-L48S
azure,standard-l16s-v2,16,128,L8Sv2-L80Sv2
azure,standard-l32s-v2,32,256,L8Sv2-L80Sv2
azure,standard-l64s-v2,64,512,L8Sv2-L80Sv2
azure,standard-l80s-v2,80,640,L8Sv2-L80Sv2
azure,standard-l8s-v2,8,64,L8Sv2-L80Sv2
azure,standard-m128-32ms,32,3800,M12832MS
azure,standard-m128-64ms,64,3800,M12832MS
azure,standard-m16-8ms,8,438,M168MS
azure,standard-m208ms-v2,208,5700,M208MSv2-M416MSv2
azure,standard-m416s-v2,416,11400,M208MSv2-M416MSv2
azure,standard-m208s-v2,208,2850,M208Sv2-M416Sv2
azure,standard-m416ms-v2,416,5700,M208Sv2-M416Sv2
azure,standard-m32ls,32,256,M32LS-M64LS
azure,standard-m64ls,64,512,M32LS-M64LS
azure,standard-m32ts,32,192,M32TS
azure,standard-m64-16ms,16,1750,M6416MS
azure,standard-m64-32ms,32,1750,M6432MS
azure,standard-m128,128,2048,M64-M128
azure,standard-m64,64,1024,M64-M128
azure,standard-m128m,128,3892,M64M-M128M
azure,standard-m64m,64,1792,M64M-M128M
azure,standard-m128s,128,2048,M64S-M128S
azure,standard-m64s,64,1024,M64S-M128S
azure,standard-m128ms,128,3892,M8MS-M8128MS
azure,standard-m16ms,16,438,M8MS-M8128MS
azure,standard-m32ms,32,875,M8MS-M8128MS
azure,standard-m64ms,64,1792,M8MS-M8128MS
azure,standard-m8ms,8,219,M8MS-M8128MS
azure,standard-nc24r,24,224,NC24R
azure,standard-nc24rs-v2,24,224,NC24Rv2
azure,standard-nc24rs-v3,24,224,NC24Rv3
azure,standard-nc12,12,112,NC6-NC24
azure,standard-nc24,24,224,NC6-NC24
azure,standard-nc6,6,56,NC6-NC24
azure,standard-nc12s-v2,12,112,NC6Sv2-NC24Sv2
azure,standard-nc24s-v2,24,448,NC6Sv2-NC24Sv2
azure,standard-nc6s-v2,6,12,NC6Sv2-NC24Sv2
azure,standard-nc12s-v3,12,112,NC6Sv3-NC24Sv3
azure,standard-nc24s-v3,24,448,NC6Sv3-NC24Sv3
azure,standard-nc6s-v3,6,12,NC6Sv3-NC24Sv3
azure,standard-nd24rs,24,448,ND24RS
azure,standard-nd40rs-v2,40,672,ND40RSv2
azure,standard-nd12s,12,224,ND6S-ND24S
azure,standard-nd24s,24,448,ND6S-ND24S
azure,standard-nd6s,6,112,ND6S-ND24S
azure,standard-nv12s-v3,12,112,NV12Sv3-NV48Sv3
azure,standard-nv24s-v3,24,224,NV12Sv3-NV48Sv3
azure,standard-nv48s-v3,48,448,NV12Sv3-NV48Sv3
azure,standard-nv16s-v4,56,352,NV4Sv4-NV32Sv4
azure,standard-nv32s-v4,112,700,NV4Sv4-NV32Sv4
azure,standard-nv4s-v4,14,88,NV4Sv4-NV32Sv4
azure,standard-nv8s-v4,28,176,NV4Sv4-NV32Sv4
